,Título,Classes,Link,Conteúdo
0,,,,
1,Táxis tailandeses viram hortas após queda na demanda durante pandemia,"['Agro', '  Tailândia  ']",https://g1.globo.com/economia/agronegocios/noticia/2021/09/16/taxis-tailandeses-viram-hortas-apos-queda-na-demanda-durante-pandemia.ghtml," Taxistas tailandeses decidiram transformar seus carros em pequenas hortas após a baixa oferta por clientes durante o isolamento social devido a pandemia do coronavírus. As plantações foram feitas esta semana por trabalhadores de duas cooperativas de táxi.  Os jardins foram montados usando sacos de lixo estendidos sobre armações de bambu. No topo, os motoristas adicionaram terra e plantaram variedade de cultivos, como o tomate, pepino e vagem.  As cooperativas Ratchapruk e Bovorn Taxi agora têm apenas 500 carros restantes nas ruas de Bangkok, com 2.500 parados em uma série de locais da cidade, de acordo com o executivo de 54 anos Thapakorn Assawalertkul.  Com as ruas de Bangkok, capital da Tailândia, sem movimentação até recentemente, havia muita competição por poucos passageiros, resultando em uma queda na renda dos motoristas.  Muitos agora não podem fazer os pagamentos diários dos veículos, mesmo depois que a cobrança foi reduzida para 300 baht ($ 9,09), disse Thapakorn. Então eles foram embora, deixando os carros em longas filas.  “Alguns deixaram seus carros em lugares como postos de gasolina e nos chamaram para pega-los”, lembrou Thapakorn.  Com novos surtos do vírus este ano, as cooperativas perderam ainda mais trabalhadores, pois milhares de carros foram entregues por seus motoristas, diz.  As novas infecções na Tailândia atingiram pouco menos de 15.000 nos últimos dias, após ter um pico acima de 23.400 em meados de agosto.  O governo espera que o país esteja se recuperando dessa onda, que tem sido a mais letal até agora, sendo responsável por 97% do total de casos do país e mais de 99% de suas mortes. No total, a Tailândia confirmou 1,4 milhão de casos e mais de 14.000 mortes.  A situação deixou as empresas de táxi em perigo financeiro, lutando para pagar os empréstimos na compra de suas frotas. As cooperativas Ratchapruk e Bovorn devem cerca de 2 bilhões de baht (US$ 60,8 milhões), disse Thapakorn. O governo até agora não ofereceu nenhum apoio financeiro direto.  “Se não tivermos ajuda em breve, teremos problemas reais”, disse ele à Associated Press na quinta-feira (16)  Os jardins dos táxis não oferecem um fluxo de receita alternativa. Os funcionários das cooperativas, que deveriam aceitar cortes de salários, agora se revezam no cuidado das hortas recém-construídas.  “A horta é tanto um ato de protesto quanto uma forma de alimentar minha equipe durante este período difícil”, disse Thapakorn. “A Tailândia passou por turbulências políticas por muitos anos e uma grande enchente em 2011, mas os negócios nunca foram tão terríveis.” "
2,Agricultores competem pelo título de 'tomate mais feio' na Espanha,"['Agro', '  Espanha  ']",https://g1.globo.com/economia/agronegocios/noticia/2021/09/16/agricultores-competem-pelo-titulo-de-tomate-mais-feio-na-espanha.ghtml," Dezenas de agricultores participaram do concurso do tomate mais feio da Espanha. A competição já está em seu 14° ano e acontece no norte da cidade de Tudela.  O evento conta com um júri popular e também possui uma degustação de qualidade e sabor de tomates ""normais"".  Concorrem os frutos da variedade marmande, cultivada na região de Navarra. No plantio, parte dos tomates acaba torcida em vez de redonda e lisa.  O vencedor deste ano foi o casal Marisol e Vicente Martinez. Eles contam que não cultivam para a competição, mas, quando um lote nasce feio, aproveitam para participar.  Um dos concorrentes, Santos Martinez, conta a sua experiência com os tomates: ""Eles nascem feios porque temos algumas abelhas que os germinam. Elas levam o pólen de um lugar para o outro, mas nesse caso algo deu errado"".  O prêmio deste ano foi um presunto ibérico, conhecido por ser um dos mais caros do mundo. Ele é feito a partir do porco da raça ibérica ou pata negra. "
3,"Veja uma pesquisa pioneira sobre o Pantanal, os 100 anos de Paraisópolis, a colheita de café em Minas Gerais e muito mais...",['Agro'],https://g1.globo.com/economia/agronegocios/globo-rural/,
4,De onde vem o que eu como: aplicativos conectam consumidor a alimentos da agricultura familiar  ,"['Agro', '  CNA  ', '  IBGE  ', '  Mato Grosso  ', '  Pará  ', '  UFRA  ', '  UFRJ  ', '  USP  ']",https://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/noticia/2021/09/17/de-onde-vem-o-que-eu-como-aplicativos-conectam-consumidor-a-alimentos-da-agricultura-familiar.ghtml," Aplicativos de compra e venda de comida não são uma novidade, mas quando se trata de comercializar alimentos da agricultura familiar, a ferramenta pode ser inovadora para esses pequenos produtores, que têm dificuldades de acessar mercados.  E a pandemia deu o ""start"" para que algumas ideias começassem a sair do papel. É o caso Compras Coop-Pa, um aplicativo que tem conectado diretamente o consumidor final a agricultores familiares do estado do Pará, sem intermediários e taxas administrativas.  O aplicativo, desenvolvido pela OCB em parceria com a Universidade Federal Rural da Amazônia (Ufra), foi uma das saídas encontradas por produtores do estado para escoar mercadorias durante a pandemia, que interrompeu, temporariamente, os principais canais de venda do setor: as feiras livres e compras públicas, como as para a merenda escolar.  Outra iniciativa, como a da Associação da Rede de Cooperativas da Agricultura Familiar e Economia Solidária (RedeCoop), quer criar um canal direto entre agricultores familiares e redes de varejo do Mato Grosso.  O app, chamado de RedeCoop, já está pronto, mas enfrenta gargalos antigos do campo para ser colocado em prática, como a dificuldade de produzir em larga escala, falta de acesso à internet e de tecnologia nas lavouras.  O app Compras Coop-Pa começou a funcionar em um sistema de ""drive-thru"", onde o consumidor checava onde estaria a feira, fazia o pedido, combinava a hora de retirada e a forma de pagamento por mensagens de textos.  ""A partir disso a gente conseguia minimizar a aglomeração"", diz Andrade, da OCB - PA.  Lançado como projeto-piloto em meados de 2020, o app foi suspenso temporariamente em julho deste ano para melhorias e será lançado de vez no mercado no próximo mês.  Os agricultores familiares da Cooperativa dos Produtores Rurais do município Paragominas (Coopruraim) foram alguns dos que aderiram à ferramenta em seu início, quando as feiras começaram a voltar em alguns pontos do Pará.  ""Uma das coisas que percebemos é que a aceitação do consumidor está relacionada com o fato dele saber quem está produzindo o alimento, uma garantia de segurança alimentar"", acrescenta Andrade.  Opção de delivery  A Coopruraim, que trabalha com produção e venda de verduras, legumes, frutas e polpas para sucos, pretende voltar para o aplicativo assim que este for retomado, já disponibilizando ao consumidor a opção do delivery.  Outra melhoria é que ele será disponibilizado para o sistema iOS (dos iPhones) - antes só funcionava nos celulares Android.  ""Estamos estudando também junto com a Ufra melhorar a forma de pagamento. Queremos implementar, dentro do próprio aplicativo, opções de pagamento por cartão de crédito, transferência bancária"", afirma o gerente de desenvolvimento da OCB.  O app tem 3 versões: para o produtor, consumidor final e atacadistas.  Na pandemia, os leilões de animais e a assistência técnica rural também passaram a ser feitos de forma virtual. O Globo Rural fez uma reportagem neste mês mostrando essas mudanças. Confira abaixo:  Preço justo  Uma outra vantagem de ter um canal direto com o consumidor é eliminar a dependência dos agricultores dos chamados ""atravessadores"", que fazem a ponte do campo com o consumidor final.  Isso é comum no campo, pois pequenos produtores têm dificuldades de acessar mercados distantes e acabam vendendo para intermediários, por preços muitas vezes aquém do custo de produção, por medo de perderem a produção.  ""A partir do momento que você elimina o atravessador, o agricultor coloca um preço melhor pra ele"", diz Andrade.  Isso porque a ferramenta é financiada pelo Sistema S, a partir do Serviço Nacional de Aprendizagem do Cooperativismo (Sescoop), e pela Organização das Cooperativas Brasileiras (OCB), que funciona com recursos das contribuições dos seus associados.  Para usar o app, o produtor precisa estar associado à OCB. ""Hoje, 90% das nossas 74 cooperativas são da agricultura familiar"", acrescenta o gerente da OCB.  No Brasil, 70% das propriedades rurais de cooperados são formados por agricultores familiares, segundo o Instituto Brasileiro de Geografia e Estatística (IBGE).  A criação de novas tecnologias esbarra, entretanto, em gargalos antigos do campo, como a dificuldade de acesso à internet.  Das 5 milhões propriedades de agricultura familiar de até 100 hectares, 72% não têm acesso a uma conectividade adequada, segundo a Associação Brasileira de Internet (Abranet).  ""Alguns agricultores não têm sequer nem um aparelho de telefone e muito menos acesso à internet [...] Dos que têm mais estrutura, nós percebemos que o uso de redes sociais cresceu, principalmente nas famílias com filhos mais jovens"", afirma Vânia Marques Pinto, secretaria de Política Agrícola da Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares (Contag).  Sobre isso, Andrade, da OCB, conta que a organização está desenvolvendo um trabalho junto ao governo do Pará para levar internet gratuita aos municípios do estado, a partir das cooperativas.  Em Mato Grosso, uma outra iniciativa sonha em conectar agricultores familiares com as grandes redes de varejo do estado.  Ainda em 2019, a Associação da Rede de Cooperativas da Agricultura Familiar e Economia Solidária (RedeCoop) criou o aplicativo RedeCoop com este objetivo, em parceria com a Cooperativa Central de Crédito (Sicredi) e Empresa Mato-grossense de Pesquisa, Assistência e Extensão Rural (Empaer).  Para Hudson Saturnino, presidente da Associação, um dos pontos importantes da iniciativa é que Mato Grosso, apesar de ser líder no agronegócio e maior produtor de soja do país, ainda importa boa parte dos alimentos básicos de outros estados.  A ferramenta está pronta, mas enfrenta problemas como falta de tecnologia e gestão para produzir em grande escala.   O desafio de vender para grandes supermercados é justamente conseguir entregar uma grande quantidade de alimentos, de forma periódica, explica a assessora técnica da Comissão Nacional de Empreendedores Familiares Rurais da Confederação da Agricultura e Pecuária do Brasil (CNA), Marina Zimmermann.  Para ganharem escala, seria preciso que agricultores juntassem a sua produção, assim como é feito pelas cooperativas, por exemplo.  Um outro gargalo, segundo Saturnino, é que muitos deles não têm tecnologias básicas, como fertirrigação, por exemplo, para poderem produzir melhor.  ""Então, vai demandar um tempo ainda para conseguirmos resolver essas questões e ganharmos a confiança das grandes redes"", diz Saturnino, acrescentando que, neste caso, os problemas seriam resolvidos com maior atenção de políticas públicas. "
5,"Agricultura familiar produz quase metade do milho, frango e leite no Brasil",['Agro'],https://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/noticia/2021/09/16/agricultura-familiar-produz-quase-metade-do-milho-frango-e-leite-no-brasil.ghtml," Uma boa quantidade dos alimentos que chegam na mesa dos brasileiros vem do que as famílias cultivam no campo.  É quase metade da produção de milho, frango, leite e boa parte do arroz e feijão.  De toda a renda gerada no campo, 23% vão para os agricultores familiares.  São pequenos produtores que também adotam novas tecnologias e conquistam o mercado no exterior através de suas associações e cooperativas.  A agricultura familiar gera empregos e ajuda a manter as tradições culturais no campo.  Agricultura familiar é Agro. Agro é tech. Agro é pop. Agro é tudo. Está na Globo. "
6,"Cooperativas do MST atingem meta de captar R$ 17,5 milhões no mercado financeiro para agricultura familiar","['Agro', '  MST  ']",https://g1.globo.com/economia/agronegocios/noticia/2021/09/16/cooperativas-do-mst-atingem-meta-de-captar-r-175-milhoes-no-mercado-financeiro-para-agricultura-familiar.ghtml," Sete cooperativas do Movimento dos Trabalhadores Rurais Sem Terra (MST) concluíram na noite de quarta-feira (15) a captação de R$ 17,5 milhões para financiar a produção de alimentos orgânicos e da agricultura familiar.  Os recursos serão direcionados para diversos cultivos, como arroz, feijão, milho, laticínios, açúcar, entre outros, nos estados nos estados do Paraná, Santa Catarina, São Paulo, Rio Grande do Sul e Mato Grosso do Sul (saiba mais no final da reportagem).  No total, foram 1.518 investidores que compraram Certificado de Recebíveis do Agronegócio (CRA), modalidade de títulos de renda fixa que financia a produção no campo.  Os investidores compraram os títulos a partir de R$ 100, com uma remuneração pré-fixada de 5,5% ao ano, que será paga com o lucro da produção das sete cooperativas do MST.  O CRA do MST tem um prazo de 5 anos, o que significa que é só depois desse período que o investidor terá o resgate do dinheiro aplicado. Além disso, tem isenção de Imposto de Renda.  Foi a primeira vez que o MST faz uma oferta pública no mercado de capitais, aberta a qualquer tipo de investidor.  Mas não foi a sua estreia no mercado financeiro. Em maio de 2020, o grupo fez uma oferta restrita de CRA, ou seja, voltada apenas para investidores qualificados, que possuem patrimônio investido igual ou acima de R$ 1 milhão.  A securitizadora responsável pela emissão dos papeis é a Gaia Impacto e os títulos foram disponibilizados aos investidores pela Terra Investimentos.  A oferta das sete cooperativas foi aberta no dia 27 de julho, mas chegou a ser suspensa três dias depois pela Comissão de Valores Imobiliários (CVM), órgão ligado ao Ministério da Economia.  Na ocasião, a autarquia havia entendido que o documento não indicava que as cooperativas eram ligadas ao MST, ""informações consideradas essenciais para que investidores tomassem as suas decisões"".  No dia 23 de agosto, porém, a CVM revogou a decisão, afirmando que ""a irregularidade identificada foi sanada"".  Em resposta à suspensão no final de julho, a Gaia Impacto chegou a protocolar um novo prospecto mencionando que as cooperativas se identificam com o MST, que ""não é um grupo econômico e não se enquadra tecnicamente em categorias jurídicas, sendo apenas definido como um movimento social"".  Conheça a seguir as sete cooperativas: "
7,Projeto faz mapeamento inédito de banco de alimentos e cozinha solidária no Brasil,['Agro'],https://g1.globo.com/economia/agronegocios/noticia/2021/09/15/projeto-faz-mapeamento-inedito-de-banco-de-alimentos-e-cozinha-solidaria-no-brasil.ghtml," Um projeto da Ação da Cidadania e do Google está realizando um mapeamento inédito de bancos de alimentos, despensas e cozinhas solidárias em funcionamento no Brasil.  O projeto vai facilitar a troca de informações entre as instituições, empresas e pessoas físicas que sejam doadores.  O cadastro para as organizações é gratuito e deve ser preenchido por meio de formulários online que serão disponibilizados no site da Rede de Alimentação Solidária.  ""Nós vamos apoiar na intermediação entre as instituições e o setor privado, em especial o setor de produção de alimentos, facilitando doações de insumos para os projetos da rede, e na conscientização sobre o desperdício e recuperação de excedentes alimentares da sociedade. Juntos somos mais fortes."" diz Kiko Afonso, diretor executivo da Ação da Cidadania.  Assim, na próxima etapa do projeto, será possível pesquisar endereços de doação de alimentos e cozinhas solidárias, como restaurantes comunitários para refeições grátis e sopões, distribuídos por dezenas de cidades no país e avaliados pela Ação da Cidadania.  A iniciativa tem ainda apoio do Centro de Excelência contra a Fome do Programa Mundial de Alimentos da ONU (WFP), que forneceu suporte técnico.  “Sabemos que muitas pessoas em situação de fome estão procurando formas de obter ajuda e o nosso objetivo é dar acesso rápido, organizado e fácil de onde encontrar uma rede de apoio e a refeição grátis mais próxima"", diz Ivan Patriota, coordenador de parcerias do Google Maps na América Latina.  A primeira Rede Brasileira de Bancos de Alimentos, Despensas de Alimentos e Cozinhas Solidárias da Sociedade Civil está prevista para começar a funcionar no último trimestre desse ano.  A própria Ação da Cidadania irá apoiar as organizações da rede com doações de alimentos em todo o país. Elas também terão acesso à Rede de Parceiros apoiadores da ONG, além de conteúdos informativos em parceria com o WFP.  Além disso, mais de 30% da produção mundial de alimentos é desperdiçada após a colheita até o consumo no varejo. Índice de Desperdício de Alimentos 2021 do Programa das Nações Unidas para o Meio Ambiente (PNUMA) revelou que cerca de 930 milhões de toneladas de alimentos foram inutilizados em 2019, ou seja, 17% da produção de comida no mundo foi descartada. "
8,Minas Gerais conquista 40 medalhas em concurso mundial de queijos na França,['Agro'],https://g1.globo.com/mg/minas-gerais/noticia/2021/09/15/minas-gerais-conquista-40-medalhas-em-concurso-mundial-de-queijos-na-franca.ghtml," O sabor de Minas Gerais foi destaque no Mondial du Fromage et des Produits Laitiers de Tours, na França. Das mais de 300 medalhas do concurso, 40 foram conquistadas por produtores mineiros.  O grande número de premiações recebidas pelos queijos do estado garantiu o bom desempenho do Brasil. Ao todo, o país levou 57 medalhas, ficando atrás apenas do anfitrião do concurso.  Para quatro produtores de Minas, a conquista teve um gosto ainda mais especial. Eles ganharam a medalha ""superouro"", dada a apenas 30 participantes do mundial, que foi encerado nesta terça-feira (14) e reuniu 46 países.  Um deles é Ivacy dos Santos, da região do Vale do Rio Doce. O sabor que rendeu a premiação máxima a ele mistura queijo e outra especialidade do estado: a cachaça.  Além do Queijo Minas Artesanal Quilombo na Cachaça, levaram o ""superouro"" o Canastra Reserva do Ivair, de São Roque de Minas, o Santo Casamenteiro, de Cruzília, e o Canastra Serjão Maturado 100 Dias, de Piumhi.  Ivacy já havia participado do concurso em 2019, quando ganhou uma medalha de bronze. Desta vez, ele também faturou uma medalha de prata com um queijo de casca lavada.  Os produtos brasileiros foram enviados ao exterior com a organização da SerTãoBras, uma associação voltada para trabalhadores rurais. Segundo a instituição, concorreram 183 queijos de Minas Gerais, São Paulo, Pará, Goiás, Mato Grosso do Sul e Paraná.  ""Já é a terceira vez que a gente participa desse mundial, mas nos superamos em quantidade de medalhas e de queijos"", comenta Débora Sperat Czar, presidente da SerTãoBras.  Ela afirma que o queijo brasileiro ainda não é valorizado como os do exterior e, por isso, a participação dos profissionais neste tipo de concurso é fundamental.  Segundo a presidente, o valor comercializado no Brasil de um queijo vencedor pode subir em até 200%, melhorando a remuneração do produtor. Além disso, o laticínio passa a ser mais buscado pelos clientes. "
9,Minifruta: agricultor cultiva maçãs do tamanho de pérolas na Rússia,"['Agro', '  Rússia  ']",https://g1.globo.com/economia/agronegocios/noticia/2021/09/10/minifruta-agricultor-cultiva-macas-do-tamanho-de-perolas-na-russia.ghtml," O produtor Nikifor Ivanov, de Yakutsk, na Rússia, cultiva micromaçãs em casa. Elas têm o tamanho de pérolas e são resistentes ao frio.  Além do tamanho, a única diferença para uma das frutas comuns é o sabor mais ácido, segundo o agricultor, ainda sim ""é crocante como uma maçã e tem gosto de maçã"", relata.  Leia mais:  A variedade é uma adaptação ao ambiente congelante na região da Sibéria. Em Lácutia, por exemplo, um dos lugares mais frios do país, a temperatura pode chegar a - 60°C. Para sobreviver, a maçã teve que diminuir de tamanho.  Ivanov diz que colher as micromaçãs é trabalhoso, por isso, ele apenas pega um punhado quando quer comer ou surpreender alguém. Além disso, a fruta também é aperitivo para os pássaros que passam por lá. "
